Store,Type,Size,Mean_Weekly_Sales,Median_Weekly_Sales,Sales_Volatility,Markdown_Intensity,Mean_Temperature,Mean_Fuel_Price,Mean_CPI,Mean_Unemployment,Department_Count,Holiday_Sales_Mean,KMeans_Cluster,Agglomerative_Cluster,DBSCAN_Cluster,MeanShift_Cluster
1,A,151315,21710.929985357285,10289.375,27748.63965128004,7331.79985064428,68.22446310035143,3.2188105232331123,215.99552501145064,7.610918196017181,77,23039.38666666667,1,1,-1,0
2,A,202307,26898.530523539754,14333.53,33077.23166685687,10039.568900175816,68.1054346552061,3.2198982223090447,215.65186905915218,7.623278765383864,78,28799.052631578947,1,1,-1,0
3,B,37392,6373.16576693227,2804.815,14250.971879844756,2460.9001372288626,71.29862660469234,3.2191123284639223,219.4028429850819,7.175602257636122,72,6916.446287519747,0,0,-1,0
4,A,205863,29161.338522196264,15116.81,34583.56850971332,9698.509734228972,62.17686721183801,3.216237246884735,128.68007016234424,5.965849201713396,78,30854.23141678129,1,1,-1,0
5,B,34875,5053.463685965107,2582.66,8068.190910374696,2924.7841426825203,69.20361929103234,3.220912101344594,216.57651613630404,6.296549283253695,72,5617.25634375,0,0,-1,0
6,A,202505,21913.48431495446,13637.84,23633.202169473403,8282.083191656056,69.63993536382333,3.2209771814709627,217.5649455291842,6.606212613847811,77,23313.90606102635,1,1,-1,0
7,B,70713,8358.89119135423,4575.24,10678.908361503343,4963.456232329441,39.60281499692686,3.239985146486376,193.67174027215736,8.585175271460766,76,9731.54030390738,0,0,-1,0
8,A,155078,13133.047970692269,7164.16,15132.040716851487,6357.23939464376,62.44743405760485,3.219253764527539,219.4384744387064,6.091934108135422,76,14013.467931034482,0,0,-1,0
9,B,125833,8773.109881583398,4205.47,12446.345507634858,3498.0330077816625,67.64658621856321,3.22391327393707,219.68364131026277,6.095641930754483,73,9423.331872,0,0,-1,0
10,B,126512,26332.923838099854,13941.43,32132.493198750515,9469.293853611245,72.14783131362094,3.5724896752302473,128.6641618140475,8.371005041202134,77,29196.219944751378,1,1,-1,0
11,A,207499,19276.92228085868,12322.11,20391.74597904905,8078.519415623136,72.4622172530312,3.2222447823494336,219.42586008023255,7.1743737825482015,78,20486.48493635078,1,1,-1,0
12,B,112238,14867.712164863473,8141.62,17966.91061267179,9638.695572385368,70.14044100978877,3.607415868109222,128.68969150253477,13.110471818650181,75,16663.981259150805,1,0,-1,0
13,A,219622,27355.16043154478,14018.455,33853.455595421496,11217.98678250907,53.60304659156006,3.284580962383044,128.67421433683407,7.004905098338744,79,28593.285602165088,1,1,-1,0
14,A,200898,28785.046258964143,15208.805,36910.96427437466,10027.244089641434,57.79178984063744,3.4177022908366532,186.28784981125497,8.649211653386455,77,30164.765263157897,1,1,-1,0
15,B,123737,9002.61269164731,4798.87,11361.913978173501,4887.97403090597,51.75050600949399,3.578823048176952,135.09456963278456,7.995937582062418,79,10077.382182596291,0,0,-1,0
16,B,57197,7863.6805146669485,4134.91,10491.007432176862,3456.910445832892,45.00692576511702,3.2488374457269935,193.7457909417558,6.470401673197077,76,8422.53454680535,0,0,-1,0
17,B,93188,12954.500154095702,6758.145,16298.939171099277,5550.621004663423,46.32989355231144,3.288494525547445,128.69841028928428,6.547021897810219,76,14179.609811866861,0,0,-1,0
18,B,120653,15733.425046150725,9282.02,18556.25629165266,7848.155762247692,53.29159651080231,3.444137843594685,135.10867884898065,8.834348615478243,78,16948.56523188406,1,0,0,0
19,A,203819,20362.405184272764,12410.055,24280.889211923663,9409.397942451715,52.19593220338982,3.57747920772566,135.08713003175995,7.996612337406386,79,22057.230237762236,1,1,-1,0
20,A,203742,29508.652971411786,16249.779999999999,35661.23707471075,10948.469103191697,55.351515566869004,3.418722537693362,209.04786308029173,7.370847366359899,78,31108.963831258647,1,1,-1,0
21,B,140167,11283.610892298058,6703.75,13030.166994460575,6962.435784804842,68.76946670841161,3.219385097056982,215.66470548953245,7.620940722187435,77,12335.818208955225,0,0,-1,0
22,B,119557,15181.33473678778,8270.225,18430.5668903046,9139.498203963667,54.85866639141206,3.441011973575557,139.01469474843105,8.067909165978529,76,15954.046323529412,1,0,0,0
23,B,114533,19776.392577114428,11993.015,20896.87528380572,7340.367533333334,48.78778706467662,3.4438937313432834,135.0993108037811,4.794435820895522,77,20774.873323863638,1,0,-1,0
24,A,203819,18969.162750293315,10532.43,23332.087542934947,9232.250349041846,53.97797614391865,3.579466660148612,135.09602085731325,8.447333105201409,77,20459.08808599168,1,1,-1,0
25,B,128107,10308.22555997552,5539.17,12499.094399630605,7076.724968380253,52.11671868625051,3.4180244798041612,209.04530649391066,7.370752141982865,77,10704.521302460202,0,0,-1,0
26,A,152513,14554.15261010757,7083.465,20109.48782976613,5342.866407550233,43.61431296935255,3.4438832961234014,135.10847991557742,7.869505784453014,76,15380.9037446198,1,0,-1,0
27,A,204184,24827.10904352078,13625.95,29718.814621768666,10776.321627383863,57.310635696821514,3.5798291442542785,139.01707057646945,8.001492224938875,78,26318.569930458973,1,1,-1,0
28,A,206302,18715.663802036983,10941.93,22439.335733115786,8882.5426619203,70.16732522495798,3.606599129832888,128.6822138270345,13.116094136260259,77,20645.881354748606,1,0,-1,0
29,B,93638,8158.945164463247,4712.54,10219.199722029814,4204.981692226335,54.865960867266,3.4419402432575357,135.09205899162347,9.806653833950291,77,9086.28136227545,0,0,-1,0
30,C,42988,8764.255496087198,1047.95,14364.303765154073,908.1405254332028,68.78706679709335,3.2258194522079373,215.6696686684181,7.62345108999441,64,8772.313473895583,0,0,1,0
31,A,203750,19682.008515085785,8511.325,26841.489756219904,8477.630210017749,68.82848451981857,3.218950305659633,215.63880620015775,7.625046539144153,76,20950.084217877094,1,1,-1,0
32,A,203007,16351.771826112526,7584.3150000000005,20899.20602535658,8237.797845520487,52.700745932170165,3.24042550480298,193.65466121466378,8.586909723583611,77,16790.151785216178,1,1,-1,0
